Years of sample collection,Sex,estimatedAge,Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
1966-68,m,10,215,111,24
1966-68,m,10,219,78,20
1966-68,m,10,204,84,21
1966-68,m,10,227,96,23
1966-68,m,11,222,,
1966-68,m,11,222,112,25
1966-68,m,12,212,104,25
1966-68,m,12,237,106,26
1966-68,m,12,226,102,22
1966-68,m,17,284.48,,
1966-68,m,13,213,78,19
1966-68,m,13,240,123,25
1966-68,m,13,246,98,23
1966-68,m,13,232,88,21
1966-68,m,13,240,99,24
1966-68,m,13,229,109,26
1966-68,m,14,243,,
1966-68,m,14,229,,
1966-68,m,14,220,115,24
1966-68,m,14,249,130,29
1966-68,m,14,231,100,25
1966-68,m,14,234,103,22
1966-68,m,14,227,94,23
1966-68,m,14,254,107,26
1966-68,m,14,246,112,26
1966-68,m,14,236,106,22
1966-68,m,15,249,,
1966-68,m,15,231,123,21
1966-68,m,16,252,139,29
1966-68,m,16.5,255,119,25
1966-68,m,17,259,135,28.5
1966-68,m,17,245,122,25
1966-68,m,17,244,121,28
1966-68,m,17,252,122,29
1966-68,m,17,254,120,24
1966-68,m,18,240,119,26.5
1966-68,m,18,260,149.5,31
1966-68,m,18,257,98.5,26.5
1966-68,m,18,259,,
1966-68,m,18,239,103,28
1966-68,m,18,266,130,27
1966-68,m,18,249,119,24
1966-68,m,20,258,,
1966-68,m,20,255,154,28
1966-68,m,20,262,134,26
1966-68,m,20,274,142,29
1966-68,m,20,262,130,28
1966-68,m,20,276,128,21
1966-68,m,20.5,272,,
1966-68,m,21,268,,
1966-68,m,21,258,,
1966-68,m,21,274,,
1966-68,m,21,275,162,33
1966-68,m,21,270,127,30
1966-68,m,22,269,,
1966-68,m,23,275,176,35
1966-68,m,24,289,130,32
1966-68,m,24,239,108,24
1966-68,m,25,278,120,31
1966-68,m,26,279,135,37
1966-68,m,26.5,289.6,,
1966-68,m,27,285,200,40
1966-68,m,30,270,,
1966-68,m,30,281,178,35
1966-68,m,30,302.3,,
1966-68,m,35,314,206,40
1966-68,m,38,284,,
1966-68,m,39,304,230,47
1966-68,f,0.25,102,,
1966-68,f,0.25,110,,
1966-68,f,0.25,105,,
1966-68,f,0.25,111,,
1966-68,f,0.25,109,,
1966-68,f,0.5,112,,
1966-68,f,0.5,115,,
1966-68,f,0.5,97,,
1966-68,f,0.5,110,,
1966-68,f,0.5,109,,
1966-68,f,0.5,115,,
1966-68,f,0.75,116,,
1966-68,f,0.75,110,,
1966-68,f,0.75,111,,
1966-68,f,1,107,,
1966-68,f,1.25,128,,
1966-68,f,1.5,131,,
1966-68,f,2,116,,
1966-68,f,2,133,,
1966-68,f,2,134,,
1966-68,f,2,127,,
1966-68,f,2.5,134,,
1966-68,f,2.5,144,,
1966-68,f,2.5,149,,
1966-68,f,2.5,145,,
1966-68,f,2.5,135,29.5,10.25
1966-68,f,2.75,155,,
1966-68,f,2.75,138,,
1966-68,f,3,158,,
1966-68,f,3,162,34.5,10
1966-68,f,3,162,37.5,11.5
1966-68,f,3,147,35.5,11.5
1966-68,f,3.5,164,43,12
1966-68,f,3.5,158,44,12.25
1966-68,f,3.5,164,41.75,12
1966-68,f,4,168,,
1966-68,f,4,161,,
1966-68,f,4,163,,
1966-68,f,4,164,44,12.5
1966-68,f,4,180,49.6,12.25
1966-68,f,4,169,48,14.3
1966-68,f,4,173,,
1966-68,f,4.5,164,40,12
1966-68,f,4.5,169,43,12
1966-68,f,5,169,42.5,12.25
1966-68,f,5,170,,
1966-68,f,5.5,171,45.25,11.5
1966-68,f,5.5,185,53.25,13
1966-68,f,6,179,65.5,15
1966-68,f,6.5,189,63,12.75
1966-68,f,6.5,183,,
1966-68,f,7,172,60,12.75
1966-68,f,7,191,63.5,14.3
1966-68,f,7,186,75,15.3
1966-68,f,7.5,188,60,12.5
1966-68,f,8,189,85,16.75
1966-68,f,8,203,83,16
1966-68,f,8,192,69.5,15.75
1966-68,f,8.5,192,68,14.5
1966-68,f,8.5,194,74.75,15
1966-68,f,8.5,199,82,14.5
1966-68,f,8.5,198,83,17.5
1966-68,f,8.5,205,65,15.5
1966-68,f,8.5,202,71.5,15
1966-68,f,9,204,76,13.5
1966-68,f,9,196,72,13
1966-68,f,9,196,69.25,14
1966-68,f,9,201,74,15
1966-68,f,9,211,72.75,14.75
1966-68,f,9,204,90,16.25
1966-68,f,10,197,80.5,15
1966-68,f,10,202,89,18
1966-68,f,11,200,,
1966-68,f,11,221,,
1966-68,f,15,225,92.5,17
1966-68,f,15,226,106,17.5
1966-68,f,15,206,84.5,16
1966-68,f,15,231,83.5,16.5
1966-68,f,15,228,90,19
1966-68,f,15,222,103,18
1966-68,f,15,217,92.25,16
1966-68,f,15,228,96.75,18
1966-68,f,15,211,73,15.75
1966-68,f,16,217,126.5,21.3
1966-68,f,16,223,78,15
1966-68,f,16,215,110.5,19
